,division,group,label,count
6,Agricultural and Veterinary Sciences,07 Agricultural and Veterinary Sciences,7,15
21,Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,703,6
31,Agricultural and Veterinary Sciences,0705 Forestry Sciences,705,2
0,Biological Sciences,06 Biological Sciences,6,48
5,Biological Sciences,0602 Ecology,602,20
10,Biological Sciences,0607 Plant Biology,607,13
14,Biological Sciences,0699 Other Biological Sciences,699,9
33,Chemical Sciences,03 Chemical Sciences,3,2
2,Earth Sciences,04 Earth Sciences,4,23
7,Earth Sciences,0406 Physical Geography and Environmental Geoscience,406,14
26,Earth Sciences,0404 Geophysics,404,3
27,Earth Sciences,0401 Atmospheric Sciences,401,3
19,Economics,14 Economics,14,7
24,Economics,1402 Applied Economics,1402,5
3,Engineering,09 Engineering,9,21
8,Engineering,0907 Environmental Engineering,907,13
12,Engineering,0905 Civil Engineering,905,11
17,Engineering,0909 Geomatic Engineering,909,7
1,Environmental Sciences,05 Environmental Sciences,5,28
4,Environmental Sciences,0502 Environmental Science and Management,502,21
11,Environmental Sciences,0503 Soil Sciences,503,12
15,Environmental Sciences,0501 Ecological Applications,501,9
13,Information and Computing Sciences,08 Information and Computing Sciences,8,10
16,Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,801,8
32,Information and Computing Sciences,0806 Information Systems,806,2
34,Mathematical Sciences,01 Mathematical Sciences,1,2
30,Mathematical Sciences,0104 Statistics,104,2
29,Mathematical Sciences,0102 Applied Mathematics,102,2
